index,section,text,is_burden,part
183,AODA Director’s order,Pay an administrative penalty in accordance with the regulations.  ,0,INCENTIVE AGREEMENTS
184,AODA Director’s order,"2005, c. 11, s. 33 ; 2016, c. 5, Sched.",0,INCENTIVE AGREEMENTS
185,AODA Director’s order,"1,",0,INCENTIVE AGREEMENTS
186,AODA Director’s order,s. 6 .,0,INCENTIVE AGREEMENTS
187,AODA Alternative remedy,Nothing in this section affects any remedy available at law to the Minister for breach of the agreement.   ,0,INCENTIVE AGREEMENTS
188,AODA Alternative remedy,"Section Amendments with date in force (d/m/y) 2016, c. 5, Sched.",0,INCENTIVE AGREEMENTS
189,AODA Alternative remedy,"1, s. 6 (1, 2) - 19/04/2016 part x   general",0,INCENTIVE AGREEMENTS
190,AODA Delegation of Minister’s powers,"The Minister may delegate any of his or her powers under this Act to a director, whether or not the director is an employee of the Ministry, or to such employees of the Ministry as may be named in the delegation.",0,GENERAL
191,AODA Document formats,"Despite any requirement in this Act that a notice, order or other document given or made by the Minister, a director or the Tribunal be in writing, if a request is made by or on behalf of a person with disabilities that the notice, order or document be provided in a format that is accessible to that person, the notice, order or document shall be provided in such a format.",0,GENERAL
192,AODA Acceptance of accessible documents,A person with a disability who is required under this Act to provide a notice or other document is entitled to do so in a format that is accessible to the person.,0,GENERAL
193,AODA Acceptance of accessible documents,"2016, c. 5, Sched.",0,GENERAL
194,AODA Acceptance of accessible documents,"1,",0,GENERAL
195,AODA Acceptance of accessible documents,"s. Section Amendments with date in force (d/m/y) 2016, c. 5, Sched.",0,GENERAL
196,AODA Acceptance of accessible documents,"1, s. 7 - 19/04/2016",0,GENERAL
197,AODA Service,"Any notice given under section 22 or 33 and any order made under section 21, 25, 27 or 33 shall be given or served only, by personal delivery; by a method of delivery by mail that permits the delivery to be verified; or by telephonic transmission of a facsimile of the document or by electronic mail if the person is equipped to receive such transmissions or mail.",1,GENERAL
198,AODA Personal delivery to various entities,"Service by personal delivery of a notice or order referred to in subsection  shall be delivered, in the case of service on a municipal corporation, to the mayor, warden, reeve or other chief officer of the municipality or to the clerk of the municipality; in the case of service on a corporation other than a municipal corporation, to a director or officer of the corporation or to a manager, secretary or other person apparently in charge of a branch office of the corporation; in the case of service on a partnership, to a partner or person apparently in charge of an office of the partnership; and in the case of service on any other organization, to a person apparently in charge of an office or of any place at which the organization carries on business.",0,GENERAL
199,AODA Deemed service,"If service is made by mail, the service shall be deemed to be made on the fifth day after the day of mailing unless the person on whom service is being made establishes that the person did not, acting in good faith, through absence, accident, illness or other cause beyond the person’s control, receive the notice or order until a later date.",1,GENERAL
200,AODA Exception,"Despite subsection , the Tribunal may order any other method of service it considers appropriate in the circumstances.",0,GENERAL
201,AODA Offences,"A person is guilty of an offence who, furnishes false or misleading information in an accessibility report filed with a director under this Act or otherwise provides a director with false or misleading information; fails to comply with any order made by a director or the Tribunal under this Act; or contravenes subsection 20  or subsection .",0,GENERAL
202,"AODA Same, intimidation","No person shall intimidate, coerce, penalize or discriminate against another person because that person, has sought or is seeking the enforcement of this Act or of a director’s order made under this Act; has co-operated or may co-operate with inspectors; or has provided, or may provide, information in the course of an inspection or proceeding under this Act.",0,GENERAL
203,AODA Penalties,"Every person who is guilty of an offence under this Act is liable on conviction, to a fine of not more than $50,000 for each day or part of a day on which the offence occurs or continues to occur; or if the person is a corporation, to a fine of not more than $100,000 for each day or part of a day on which the offence occurs or continues to occur.",0,GENERAL
204,AODA Duty of director or officer,Every director or officer of a corporation has a duty to take all reasonable care to prevent the corporation from committing an offence under this section.,0,GENERAL
205,AODA Offence,"Every director or officer of a corporation who has a duty under subsection  and who fails to carry out that duty is guilty of an offence and on conviction is liable to a fine of not more than $50,000 for each day or part of a day on which the offence occurs or continues to occur.",0,GENERAL
206,AODA Conflict,"If a provision of this Act, of an accessibility standard or of any other regulation conflicts with a provision of any other Act or regulation, the provision that provides the highest level of accessibility for persons with disabilities with respect to goods, services, facilities, employment, accommodation, buildings, structures or premises shall prevail.",0,GENERAL
207,AODA Regulations,"The Lieutenant Governor in Council may make regulations, governing the time-frames for the development of proposed accessibility standards by standards development committees established under section 8, for the implementation of accessibility standards and for the review of those standards and providing different time-frames for different accessibility standards relating to different industries, sectors of the economy or classes of persons or organizations; governing reports or information to be provided to a director for the purposes of this Act and requiring persons or organizations to provide such information; governing accessibility reports, including the preparation of such reports; respecting the manner in which accessibility reports shall be made available to the public and requiring persons and organizations to make the reports available in a prescribed manner; prescribing the times at which accessibility reports shall be filed with a director, including prescribing different times for different classes of persons and organizations; prescribing the information to be included in accessibility reports, including prescribing different information to be included in reports prepared by different classes of persons and organizations; governing the appointment and qualifications of inspectors appointed under section 18; governing director’s orders made under Part V of this Act; governing the administrative penalties that a director may require a person or organization to pay under this Act and all matters necessary and incidental to the administration of a system of administrative penalties under this Act; designating one or more tribunals for the purposes of this Act and respecting the matters that may be heard by each designated tribunal; prescribing the filing fee for filing an appeal to the Tribunal and respecting the payment of the fee including prescribing the person or entity to which the fee shall be paid; governing mediations conducted by the Tribunal under section 28 including prescribing any fees relating to the mediation process and requiring persons to pay the fees; specifying additional functions of municipal accessibility advisory committees for the purposes of clause 29  (c); respecting what constitutes a significant renovation for the purposes of clause 29  and what constitutes a new lease for the purposes of clause 29  (b); respecting the powers of a director; governing agreements made under section 33; defining the terms “accessibility”, “accommodation” and “services” for the purposes of this Act and of the regulations; exempting any person or organization or class thereof or any building, structure or premises or class thereof from the application of any provision of this Act or the regulations; prescribing or respecting any matter that this Act refers to as a matter that the regulations may prescribe, specify, designate, set or otherwise deal with; respecting any transitional matters necessary for the effective implementation of this Act and the regulations; respecting any matter necessary to the enforcement and administration of this Act.",0,GENERAL
208,AODA Exemptions,"A regulation under clause  shall state the reasons for exempting the persons, organizations, buildings, structures or premises or classes thereof, described in the regulation, from the application of the provisions specified in the regulation.",1,GENERAL
209,AODA Draft regulation made public,The Lieutenant Governor in Council shall not make a regulation under subsection  unless a draft of the regulation is made available to the public for a period of at least 45 days by posting it on a government internet site and by such other means as the Minister considers advisable.,0,GENERAL
210,AODA Opportunity for comments,"Within 45 days after a draft regulation is made available to the public in accordance with subsection , any person may submit comments with respect to the draft regulation to the Minister.",0,GENERAL
211,AODA Changes to draft regulation,"After the time for comments under subsection  has expired, the Lieutenant Governor in Council may, without further notice, make the regulation with such changes as the Lieutenant Governor in Council considers advisable.",0,GENERAL
212,AODA Annual report,The Minister shall prepare an annual report on the implementation and effectiveness of this Act.,1,GENERAL
213,AODA Content of report,"The report shall include an analysis of how effective the standards development committees, the accessibility standards and the enforcement mechanisms provided for under this Act are in furthering the purpose of this Act.",1,GENERAL
214,AODA Tabling of report,"The Minister shall submit the report to the Lieutenant Governor in Council and shall cause the report to be laid before the Assembly if it is in session or, if not, at the next session.",1,GENERAL
215,AODA Review of Act,"Within four years after this section comes into force, the Lieutenant Governor in Council shall, after consultation with the Minister, appoint a person who shall undertake a comprehensive review of the effectiveness of this Act and the regulations and report on his or her findings to the Minister.",1,GENERAL
216,AODA Consultation,"A person undertaking a review under this section shall consult with the public and, in particular, with persons with disabilities.",0,GENERAL
217,AODA Contents of report,"Without limiting the generality of subsection , a report may include recommendations for improving the effectiveness of this Act and the regulations.",0,GENERAL
218,AODA Further review,"Within three years after the laying of a report under subsection  and every three years thereafter, the Lieutenant Governor in Council shall, after consultation with the Minister, appoint a person who shall undertake a further comprehensive review of the effectiveness of this Act and the regulations.",0,GENERAL
219,REG Purpose and application,"This Regulation establishes the accessibility standards for each of information and communications, employment, transportation and the design of public spaces.  ",0,GENERAL
220,REG Purpose and application,Note,0,GENERAL
221,REG Purpose and application,": On July 1, 2016, subsection 1  of the Regulation is revoked and the following substituted:",0,GENERAL
222,REG Purpose and application,"(See: O. Reg. 165/16, s. 1)",0,GENERAL
223,REG Purpose and application,"Purpose and application  This Regulation establishes the accessibility standards for each of information and communications, employment, transportation, the design of public spaces and customer service.   ",0,GENERAL
224,REG Purpose and application,The requirements in the standards set out in this Regulation are not a replacement or a substitution for the requirements established under the Human Rights Code nor do the standards limit any obligations owed to persons with disabilities under any other legislation.    ,0,GENERAL
225,REG Purpose and application,"Except as otherwise provided in this Regulation, this Regulation applies to the Government of Ontario, the Legislative Assembly, every designated public sector organization and to every other person or organization that provides goods, services or facilities to the public or other third parties and that has at least one employee in Ontario.",0,GENERAL
226,REG Definitions,80.1,0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
227,REG Definitions,"In this Part, “amenities” means items that provide conveniences or services for use by the public, examples of which include drinking fountains, benches and garbage receptacles; (“installations”)",0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
228,REG Definitions,"“beach access routes” means routes that are constructed and are intended for pedestrian use by the public and that provide access from off-street parking facilities, recreational trails, exterior paths of travel and amenities to an area of a beach that is intended for recreational use by the public;",0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
229,REG Definitions,(“voie accessible menant à une plage”),0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
230,REG Definitions,“,0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
231,REG Definitions,bevel” means a small slope that helps an individual negotiate an elevation change; (“biseau”) “cross slope,0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
232,REG Definitions,"” means the slope of a surface that is perpendicular to the direction of travel; (“pente transversale”) “environmental mitigation” means activities that are intended to reduce, mitigate, prevent or compensate for adverse effects of human activities or items, including paths, play spaces, trails and parking, upon fish, wildlife, plants, invertebrates, species at risk, ecological integrity or natural heritage values; (“activités d’atténuation des conséquences environnementales",0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
233,REG Definitions,”,0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
234,REG Definitions,") “environmental restoration” means activities that are intended to benefit fish, wildlife, plants, invertebrates, species at risk, ecological integrity or natural heritage values; (“activités de restauration de l’environnement”) “in-line ramp” means a ramp that does not change directions; (“rampe en ligne droite”)",0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
235,REG Definitions,"“maintenance” means activities that are intended to keep existing public spaces and elements in existing public spaces in good working order or to restore the spaces or elements to their original condition, examples of which include painting and minor repairs; (“entretien”) “mm” means millimeters; (“mm”)",0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
236,REG Definitions,"“off-street parking facilities” includes open area parking lots and structures intended for the temporary parking of vehicles by the public, whether or not the payment of a fee is charged and includes visitor parking spaces in parking facilities;",0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
237,REG Definitions,(“installations de stationnement hors voirie”),0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
238,REG Definitions,“,0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
239,REG Definitions,"on-street parking” includes parking spaces located on highways, as defined in subsection 1  of the Highway Traffic Act, that provide direct access to shops, offices and other facilities whether or not the payment of a fee is charged; (“stationnement sur voirie”)",0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
240,REG Definitions,“recreational trails” means public pedestrian trails that are intended for recreational and leisure purposes; (“sentier récréatif”),0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
241,REG Definitions,“,0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
242,REG Definitions,redeveloped,0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
243,REG Definitions,"” means planned significant alterations to public spaces, but does not include maintenance activities, environmental mitigation or environmental restoration; (“réaménagé”) “rest area” means, in respect of recreational trails and exterior paths of travel, a dedicated level area that is intended for public use to allow persons to stop or sit;",0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
244,REG Definitions,(“aire de repos,0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
245,REG Definitions,”,0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
246,REG Definitions,) “running slope” means the slope of a surface that is parallel to the direction of travel; (“pente longitudinale”),0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
247,REG Definitions,“species at risk,0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
248,REG Definitions,"” means a species listed in Schedules 1, 2, 3 or 4 to Ontario Regulation 230/08 (Species at Risk in Ontario List) made under the Endangered Species Act, 2007; (“espèces en péril”) “vibro-tactile walk indicators” means pedestrian crossing signal push button devices that vibrate and can be felt through the sense of touch to communicate pedestrian crossing timing in a non-visual way.",0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
249,REG Definitions,(“signal de marche vibrotactile”),0,DESIGN OF PUBLIC SPACES STANDARDS (ACCESSIBILITY STANDARDS FOR THE BUILT ENVIRONMENT)
250,REG Establishment of accessibility policies,"Every obligated organization shall develop, implement and maintain policies governing how the organization achieves or will achieve accessibility through meeting its requirements referred to in this Regulation.    ",1,GENERAL
251,REG Establishment of accessibility policies,"Obligated organizations, other than small organizations, shall include a statement of organizational commitment to meet the accessibility needs of persons with disabilities in a timely manner in their policies.    ",1,GENERAL
252,REG Establishment of accessibility policies,"The Government of Ontario, the Legislative Assembly, every designated public sector organization and large organizations shall, prepare one or more written documents describing its policies; and make the documents publicly available, and shall provide them in an accessible format upon request.   ",1,GENERAL
253,REG Establishment of accessibility policies,Note,0,GENERAL
254,REG Establishment of accessibility policies,": On July 1, 2016, subsection 3  of the Regulation is revoked and the following substituted:",0,GENERAL
255,REG Establishment of accessibility policies,"(See: O. Reg. 165/16, s. 3 )  Every obligated organization, other than a small organization, shall, prepare one or more documents describing the policies it developed under subsection ; and make the documents publicly available and, on request, provide them in an accessible format.   ",1,GENERAL
256,REG Establishment of accessibility policies,"Obligated organizations shall meet the requirements of this section according to the following schedule: For the Government of Ontario and the Legislative Assembly, January 1, 20For large designated public sector organizations, January 1, 20For small designated public sector organizations, January 1, 20For large organizations, January 1,",1,GENERAL
257,REG Establishment of accessibility policies,"20For small organizations, January 1,",0,GENERAL
258,REG Establishment of accessibility policies,20  Note:,0,GENERAL
259,REG Establishment of accessibility policies,"On July 1, 2016, subsection 3  of the Regulation is revoked.",0,GENERAL
260,REG Establishment of accessibility policies,"(See: O. Reg. 165/16, s. 3 )",0,GENERAL
261,REG Accessibility plans,"The Government of Ontario, Legislative Assembly, designated public sector organizations and large organizations shall, establish, implement, maintain and document a multi-year accessibility plan, which outlines the organization’s strategy to prevent and remove barriers and meet its requirements under this Regulation; post the accessibility plan on their website, if any, and provide the plan in an accessible format upon request; and review and update the accessibility plan at least once every five years.    ",1,GENERAL
262,REG Accessibility plans,"The Government of Ontario, Legislative Assembly and designated public sector organizations shall establish, review and update their accessibility plans in consultation with persons with disabilities and if they have established an accessibility advisory committee, they shall consult with the committee.    ",1,GENERAL
263,REG Accessibility plans,"The Government of Ontario, Legislative Assembly and designated public sector organizations shall, prepare an annual status report on the progress of measures taken to implement the strategy referenced in clause  (a), including steps taken to comply with this Regulation; and post the status report on their website, if any, and provide the report in an accessible format upon request.  ",1,GENERAL
264,REG Accessibility plans,O. Reg.,0,GENERAL
265,REG Accessibility plans,"191/11, s. 4 ;   An upper-tier municipality and any lower-tier municipalities that form part of it for municipal purposes may prepare a joint accessibility plan and a joint annual status report.   ",0,GENERAL
266,REG Accessibility plans,"A joint accessibility plan and a joint annual status report prepared in accordance with subsection  are deemed to be the accessibility plan and annual status report of each municipality to which they apply and subsections  and  apply, with necessary modifications, where municipalities prepare a joint accessibility plan and a joint annual status report.   ",0,GENERAL
267,REG Accessibility plans,"The Government of Ontario, Legislative Assembly, designated public sector organizations and large organizations shall meet the requirements of this section according to the following schedule: For the Government of Ontario and the Legislative Assembly, January 1, 20For large designated public sector organizations, January 1, 20For small designated public sector organizations, January 1, 20For large organizations, January 1,",1,GENERAL
268,REG Accessibility plans,"20  Note: On July 1, 2016, subsection 4  of the Regulation is revoked.",0,GENERAL
269,REG Accessibility plans,"(See: O. Reg. 165/16, s. 4)",0,GENERAL
270,"REG Procuring or acquiring goods, services or facilities","The Government of Ontario, Legislative Assembly and designated public sector organizations shall incorporate accessibility design, criteria and features when procuring or acquiring goods, services or facilities, except where it is not practicable to do so.  ",1,GENERAL
271,"REG Procuring or acquiring goods, services or facilities",O. Reg.,0,GENERAL
272,"REG Procuring or acquiring goods, services or facilities","191/11, s. 5 ;   If the Government of Ontario, Legislative Assembly or a designated public sector organization determines that it is not practicable to incorporate accessibility design, criteria and features when procuring or acquiring goods, services or facilities, it shall provide, upon request, an explanation.  ",1,GENERAL
273,"REG Procuring or acquiring goods, services or facilities",O. Reg.,0,GENERAL
274,"REG Procuring or acquiring goods, services or facilities","191/11,",0,GENERAL
275,"REG Procuring or acquiring goods, services or facilities",s. 5 ;   ,0,GENERAL
276,"REG Procuring or acquiring goods, services or facilities","The Government of Ontario, Legislative Assembly and designated public sector organizations shall meet the requirements of this section in accordance with the following schedule: For the Government of Ontario and the Legislative Assembly, January 1, 20For large designated public sector organizations, January 1, 20For small designated public sector organizations, January 1, 20  Note:",1,GENERAL
277,"REG Procuring or acquiring goods, services or facilities","On July 1, 2016, subsection 5  of the Regulation is revoked.",0,GENERAL
278,"REG Procuring or acquiring goods, services or facilities","(See: O. Reg. 165/16, s. 4)",0,GENERAL
279,REG Self-service kiosks,"Without limiting the generality of section 5, the Government of Ontario, Legislative Assembly and designated public sector organizations shall incorporate accessibility features when designing, procuring or acquiring self-service kiosks.    ",1,GENERAL
280,REG Self-service kiosks,"Large organizations and small organizations shall have regard to the accessibility for persons with disabilities when designing, procuring or acquiring self-service kiosks.    ",1,GENERAL
281,REG Self-service kiosks,"The Government of Ontario, Legislative Assembly and designated public sector organizations shall meet the requirements of this section in accordance with the schedule set out in subsection 5 .   ",1,GENERAL
282,REG Self-service kiosks,Note,0,GENERAL
283,REG Self-service kiosks,": On July 1, 2016, subsection 6  of the Regulation is revoked.",0,GENERAL
284,REG Self-service kiosks,"(See: O. Reg. 165/16, s. 4)  ",0,GENERAL
285,REG Self-service kiosks,"Large organizations shall meet the requirements under subsection  as of January 1, 2014 and small organizations shall meet the requirements as of January 1, 20  Note: On July 1, 2016, subsection 6  of the Regulation is revoked.",1,GENERAL
286,REG Self-service kiosks,"(See: O. Reg. 165/16, s. 4)  ",0,GENERAL
287,REG Self-service kiosks,"In this section, “kiosk” means an interactive electronic terminal, including a point-of-sale device, intended for public use that allows users to access one or more services or products or both.",0,GENERAL
288,REG Training,"Every obligated organization shall ensure that training is provided on the requirements of the accessibility standards referred to in this Regulation and on the Human Rights Code as it pertains to persons with disabilities to, all employees, and volunteers; Note: On July 1, 2016, clause 7  of the Regulation is revoked and the following substituted: (See: O. Reg. 165/16, s. 5 ) all persons who are an employee of, or a volunteer with, the organization; all persons who participate in developing the organization’s policies; and all other persons who provide goods, services or facilities on behalf of the organization.    ",1,GENERAL
289,REG Training,"The training on the requirements of the accessibility standards and on the Human Rights Code referred to in subsection  shall be appropriate to the duties of the employees, volunteers and other persons.    ",0,GENERAL
290,REG Training,Every person referred to in subsection  shall be trained as soon as practicable.    ,1,GENERAL
291,REG Training,Every obligated organization shall provide training in respect of any changes to the policies described in section 3 on an ongoing basis.    ,1,GENERAL
292,REG Training,"The Government of Ontario, the Legislative Assembly, every designated public sector organization and every large organization shall keep a record of the training provided under this section, including the dates on which the training is provided and the number of individuals to whom it is provided.    ",1,GENERAL
293,REG Training,"Obligated organizations shall meet the requirements of this section in accordance with the following schedule: For the Government of Ontario and the Legislative Assembly, January 1, 20For large designated public sector organizations, January 1, 20For small designated public sector organizations, January 1, 20For large organizations, January 1,",0,GENERAL
294,REG Training,"20For small organizations, January 1,",0,GENERAL
295,REG Training,"20  Note: On July 1, 2016, subsection 7  of the Regulation is revoked.",0,GENERAL
296,REG Training,"(See: O. Reg. 165/16, s. 5 )",0,GENERAL
297,REG Exemption from filing accessibility reports,Small organizations are exempted from the requirement to file accessibility reports under section 14 of the Act with respect to the accessibility standards in this Regulation.    ,0,GENERAL
298,REG Exemption from filing accessibility reports,The following are the reasons for the exemption: It is consistent with a phased approach to implementing the Act.,0,GENERAL
299,REG Exemption from filing accessibility reports,It allows the exempted obligated organizations to focus their efforts and resources on complying with the accessibility standards.   ,0,GENERAL
300,REG Exemption from filing accessibility reports,"Note: On July 1, 2016, section 8 of the Regulation is revoked.",0,GENERAL
301,REG Exemption from filing accessibility reports,"(See: O. Reg. 165/16, s. 6) Part II   Information and Communications Standards",0,GENERAL
302,REG Definitions and exceptions,"In this Part, “communications” means the interaction between two or more persons or entities, or any combination of them, where information is provided, sent or received; (“communications”)",0,INFORMATION AND COMMUNICATIONS STANDARDS
303,REG Definitions and exceptions,“conversion ready,0,INFORMATION AND COMMUNICATIONS STANDARDS
304,REG Definitions and exceptions,” means an electronic or digital format that facilitates conversion into an accessible format;,0,INFORMATION AND COMMUNICATIONS STANDARDS
305,REG Definitions and exceptions,(“prêt à être converti,0,INFORMATION AND COMMUNICATIONS STANDARDS
306,REG Definitions and exceptions,"”) “information” includes data, facts and knowledge that exists in any format, including text, audio, digital or images, and that conveys meaning.  ",0,INFORMATION AND COMMUNICATIONS STANDARDS
307,REG Definitions and exceptions,(“information”)    ,0,INFORMATION AND COMMUNICATIONS STANDARDS
308,REG Definitions and exceptions,"The information and communications standards do not apply to the following: Products and product labels, except as specifically provided by this Part.",0,INFORMATION AND COMMUNICATIONS STANDARDS
309,REG Definitions and exceptions,Unconvertible information or communications.,0,INFORMATION AND COMMUNICATIONS STANDARDS
310,REG Definitions and exceptions,"Information that the obligated organization does not control directly or indirectly through a contractual relationship, except as required under sections 15 and    ",0,INFORMATION AND COMMUNICATIONS STANDARDS
311,REG Definitions and exceptions,"If an obligated organization determines that information or communications are unconvertible, the organization shall provide the person requesting the information or communication with, an explanation as to why the information or communications are unconvertible; and a summary of the unconvertible information or communications.    ",1,INFORMATION AND COMMUNICATIONS STANDARDS
312,REG Definitions and exceptions,"For the purposes of this Part, information or communications are unconvertible if, it is not technically feasible to convert the information or communications; or the technology to convert the information or communications is not readily available.",0,INFORMATION AND COMMUNICATIONS STANDARDS
313,REG Application,This Part applies in respect of this Regulation and Ontario Regulation 429/07 (Accessibility Standards for Customer Service) made under the Act.   ,0,COMPLIANCE
314,REG Application,"Note: On July 1, 2016, section 81 of the Regulation is revoked.",0,COMPLIANCE
315,REG Application,"(See: O. Reg. 165/16, s. 17)",0,COMPLIANCE
316,REG Feedback,"Every obligated organization that has processes for receiving and responding to feedback shall ensure that the processes are accessible to persons with disabilities by providing or arranging for the provision of accessible formats and communications supports, upon request.    ",1,INFORMATION AND COMMUNICATIONS STANDARDS
317,REG Feedback,Nothing in this section detracts from the obligations imposed under section 7 of Ontario Regulation 429/07 (Accessibility Standards for Customer Service) made under the Act.   ,0,INFORMATION AND COMMUNICATIONS STANDARDS
318,REG Feedback,Note,0,INFORMATION AND COMMUNICATIONS STANDARDS
319,REG Feedback,": On July 1, 2016, subsection 11  of the Regulation is revoked and the following substituted:",0,INFORMATION AND COMMUNICATIONS STANDARDS
320,REG Feedback,"(See: O. Reg. 165/16, s. 7)  The organization shall notify the public about the availability of accessible formats and communications supports with respect to the feedback process.   ",1,INFORMATION AND COMMUNICATIONS STANDARDS
321,REG Feedback,Every obligated organization shall notify the public about the availability of accessible formats and communication supports.   ,1,INFORMATION AND COMMUNICATIONS STANDARDS
322,REG Feedback,Note,0,INFORMATION AND COMMUNICATIONS STANDARDS
323,REG Feedback,": On July 1, 2016, subsection 11  of the Regulation is revoked and the following substituted:",0,INFORMATION AND COMMUNICATIONS STANDARDS
324,REG Feedback,"(See: O. Reg. 165/16, s. 7)  Nothing in this section detracts from the obligations imposed by section 80.  ",0,INFORMATION AND COMMUNICATIONS STANDARDS
325,REG Feedback,"Obligated organizations shall meet the requirements of this section in accordance with the following schedule: For the Government of Ontario and the Legislative Assembly, January 1, 20For large designated public sector organizations, January 1, 20For small designated public sector organizations, January 1, 20For large organizations, January 1,",1,INFORMATION AND COMMUNICATIONS STANDARDS
326,REG Feedback,"20For small organizations, January 1,",0,INFORMATION AND COMMUNICATIONS STANDARDS
327,REG Feedback,"20  Note: On July 1, 2016, subsection 11  of the Regulation is revoked.",0,INFORMATION AND COMMUNICATIONS STANDARDS
328,REG Feedback,"(See: O. Reg. 165/16, s. 7)",0,INFORMATION AND COMMUNICATIONS STANDARDS
329,REG Accessible formats and communication supports,"Except as otherwise provided, every obligated organization shall upon request provide or arrange for the provision of accessible formats and communication supports for persons with disabilities, in a timely manner that takes into account the person’s accessibility needs due to disability; and at a cost that is no more than the regular cost charged to other persons.    ",1,INFORMATION AND COMMUNICATIONS STANDARDS
330,REG Accessible formats and communication supports,The obligated organization shall consult with the person making the request in determining the suitability of an accessible format or communication support.    ,1,INFORMATION AND COMMUNICATIONS STANDARDS
331,REG Accessible formats and communication supports,Every obligated organization shall notify the public about the availability of accessible formats and communication supports.    ,1,INFORMATION AND COMMUNICATIONS STANDARDS
332,REG Accessible formats and communication supports,"Every obligated organization that is required to provide accessible formats or accessible formats and communication supports by section 3, 4, 11, 13, 19, 26, 28, 34, 37, 44 or 64 shall meet the requirements of subsections  and  but shall do so in accordance with the schedule set out in the referenced section and shall do so only to the extent that the requirements in subsections  and  are applicable to the requirements set out in the referenced section.    ",0,INFORMATION AND COMMUNICATIONS STANDARDS
333,REG Accessible formats and communication supports,"Obligated organizations shall meet the requirements under this section in accordance with the following schedule: For the Government of Ontario and the Legislative Assembly, January 1, 20For large designated public sector organizations, January 1, 20For small designated public sector organizations, January 1, 20For large organizations, January 1,",0,INFORMATION AND COMMUNICATIONS STANDARDS
334,REG Accessible formats and communication supports,"20For small organizations, January 1, 20",0,INFORMATION AND COMMUNICATIONS STANDARDS
335,"REG Emergency procedure, plans or public safety information","In addition to its obligations under section 12, if an obligated organization prepares emergency procedures, plans or public safety information and makes the information available to the public, the obligated organization shall provide the information in an accessible format or with appropriate communication supports, as soon as practicable, upon request.    ",1,INFORMATION AND COMMUNICATIONS STANDARDS
336,"REG Emergency procedure, plans or public safety information","Obligated organizations that prepare emergency procedures, plans or public safety information and make the information available to the public shall meet the requirements of this section by January 1,",1,INFORMATION AND COMMUNICATIONS STANDARDS
337,"REG Emergency procedure, plans or public safety information",20  Note:,0,INFORMATION AND COMMUNICATIONS STANDARDS
338,"REG Emergency procedure, plans or public safety information","On July 1, 2016, subsection 13  of the Regulation is revoked.",0,INFORMATION AND COMMUNICATIONS STANDARDS
339,"REG Emergency procedure, plans or public safety information","(See: O. Reg. 165/16,",0,INFORMATION AND COMMUNICATIONS STANDARDS
